saving to ./results/resnet_cifar100_binary_lr_0.0001
creating model resnet_binary
created model with configuration: {'input_size': None, 'dataset': 'cifar100'}
number of parameters: 4367100
Files already downloaded and verified
Files already downloaded and verified
training regime: {0: {'optimizer': 'Adam', 'lr': 0.0001}}
/content/BinaryNet.pytorch/models/resnet_binary.py:148: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  x = self.logsoftmax(x)
TRAINING - Epoch: [0][0/196]	Time 4.014 (4.014)	Data 0.638 (0.638)	Loss 5.1435 (5.1435)	Prec@1 1.562 (1.562)	Prec@5 5.078 (5.078)
TRAINING - Epoch: [14][130/196]	Time 0.488 (0.483)	Data 0.000 (0.006)	Loss 3.2641 (3.3780)	Prec@1 23.438 (21.404)	Prec@5 56.250 (48.643)
TRAINING - Epoch: [14][140/196]	Time 0.482 (0.483)	Data 0.000 (0.005)	Loss 3.3880 (3.3779)	Prec@1 21.484 (21.479)	Prec@5 48.828 (48.684)
TRAINING - Epoch: [14][150/196]	Time 0.480 (0.483)	Data 0.000 (0.005)	Loss 3.1776 (3.3711)	Prec@1 26.562 (21.668)	Prec@5 55.469 (48.885)
TRAINING - Epoch: [14][160/196]	Time 0.484 (0.483)	Data 0.000 (0.005)	Loss 3.2814 (3.3722)	Prec@1 22.656 (21.618)	Prec@5 51.562 (48.850)
TRAINING - Epoch: [14][170/196]	Time 0.476 (0.482)	Data 0.000 (0.004)	Loss 3.3816 (3.3751)	Prec@1 22.656 (21.576)	Prec@5 49.219 (48.755)
TRAINING - Epoch: [14][180/196]	Time 0.477 (0.482)	Data 0.000 (0.004)	Loss 3.3318 (3.3740)	Prec@1 21.875 (21.607)	Prec@5 51.953 (48.832)
TRAINING - Epoch: [14][190/196]	Time 0.481 (0.482)	Data 0.000 (0.004)	Loss 3.3495 (3.3747)	Prec@1 24.219 (21.589)	Prec@5 48.047 (48.816)
EVALUATING - Epoch: [14][0/40]	Time 0.823 (0.823)	Data 0.620 (0.620)	Loss 3.2651 (3.2651)	Prec@1 24.219 (24.219)	Prec@5 51.562 (51.562)
EVALUATING - Epoch: [14][10/40]	Time 0.161 (0.224)	Data 0.000 (0.057)	Loss 3.3458 (3.2952)	Prec@1 21.875 (23.935)	Prec@5 50.391 (50.107)
EVALUATING - Epoch: [14][20/40]	Time 0.160 (0.194)	Data 0.000 (0.030)	Loss 3.2941 (3.3008)	Prec@1 25.781 (23.586)	Prec@5 53.125 (50.484)
EVALUATING - Epoch: [14][30/40]	Time 0.160 (0.183)	Data 0.000 (0.020)	Loss 3.4769 (3.3126)	Prec@1 21.875 (22.807)	Prec@5 45.703 (50.227)

 Epoch: 15	Training Loss 3.3746 	Training Prec@1 21.586 	Training Prec@5 48.828 	Validation Loss 3.3116 	Validation Prec@1 22.740 	Validation Prec@5 50.300 

TRAINING - Epoch: [15][0/196]	Time 1.140 (1.140)	Data 0.749 (0.749)	Loss 3.4493 (3.4493)	Prec@1 17.578 (17.578)	Prec@5 46.875 (46.875)
TRAINING - Epoch: [15][10/196]	Time 0.484 (0.529)	Data 0.000 (0.070)	Loss 3.3839 (3.3822)	Prec@1 25.391 (21.271)	Prec@5 49.609 (47.869)
TRAINING - Epoch: [15][20/196]	Time 0.478 (0.505)	Data 0.000 (0.037)	Loss 3.2502 (3.3753)	Prec@1 26.172 (21.540)	Prec@5 50.781 (48.754)
TRAINING - Epoch: [15][30/196]	Time 0.482 (0.497)	Data 0.000 (0.025)	Loss 3.3740 (3.3491)	Prec@1 21.484 (22.064)	Prec@5 48.438 (49.509)
TRAINING - Epoch: [15][40/196]	Time 0.482 (0.492)	Data 0.000 (0.019)	Loss 3.4846 (3.3465)	Prec@1 21.484 (22.113)	Prec@5 48.438 (49.905)
TRAINING - Epoch: [15][50/196]	Time 0.474 (0.490)	Data 0.000 (0.015)	Loss 3.3577 (3.3443)	Prec@1 24.219 (22.089)	Prec@5 47.266 (49.893)
TRAINING - Epoch: [15][60/196]	Time 0.477 (0.488)	Data 0.000 (0.013)	Loss 3.3988 (3.3492)	Prec@1 18.750 (21.843)	Prec@5 48.438 (49.597)
TRAINING - Epoch: [15][70/196]	Time 0.481 (0.487)	Data 0.000 (0.011)	Loss 3.2114 (3.3444)	Prec@1 25.781 (21.798)	Prec@5 52.734 (49.769)
TRAINING - Epoch: [15][80/196]	Time 0.483 (0.486)	Data 0.000 (0.010)	Loss 3.5430 (3.3475)	Prec@1 16.797 (21.827)	Prec@5 44.141 (49.619)
TRAINING - Epoch: [15][90/196]	Time 0.480 (0.485)	Data 0.000 (0.009)	Loss 3.3200 (3.3437)	Prec@1 19.922 (21.832)	Prec@5 48.047 (49.678)
TRAINING - Epoch: [15][100/196]	Time 0.477 (0.485)	Data 0.000 (0.008)	Loss 3.2647 (3.3364)	Prec@1 23.828 (22.049)	Prec@5 51.953 (49.938)
TRAINING - Epoch: [15][110/196]	Time 0.480 (0.484)	Data 0.000 (0.007)	Loss 3.3158 (3.3357)	Prec@1 26.562 (22.076)	Prec@5 50.391 (49.982)
TRAINING - Epoch: [15][120/196]	Time 0.480 (0.484)	Data 0.000 (0.007)	Loss 3.3399 (3.3362)	Prec@1 21.094 (22.082)	Prec@5 47.266 (49.932)
TRAINING - Epoch: [15][130/196]	Time 0.483 (0.484)	Data 0.000 (0.006)	Loss 3.3060 (3.3374)	Prec@1 19.141 (22.054)	Prec@5 51.172 (49.958)
TRAINING - Epoch: [15][140/196]	Time 0.477 (0.483)	Data 0.000 (0.006)	Loss 3.5144 (3.3379)	Prec@1 19.922 (22.113)	Prec@5 44.922 (49.958)
TRAINING - Epoch: [15][150/196]	Time 0.480 (0.483)	Data 0.000 (0.005)	Loss 3.4527 (3.3401)	Prec@1 21.875 (22.149)	Prec@5 42.578 (49.904)
TRAINING - Epoch: [15][160/196]	Time 0.480 (0.483)	Data 0.000 (0.005)	Loss 3.2969 (3.3397)	Prec@1 23.047 (22.108)	Prec@5 51.562 (49.896)
TRAINING - Epoch: [15][170/196]	Time 0.478 (0.483)	Data 0.000 (0.005)	Loss 3.4579 (3.3426)	Prec@1 19.531 (22.053)	Prec@5 44.141 (49.817)
TRAINING - Epoch: [15][180/196]	Time 0.479 (0.482)	Data 0.000 (0.004)	Loss 3.3857 (3.3443)	Prec@1 23.047 (22.054)	Prec@5 46.875 (49.702)
TRAINING - Epoch: [15][190/196]	Time 0.484 (0.482)	Data 0.000 (0.004)	Loss 3.3024 (3.3450)	Prec@1 24.219 (21.990)	Prec@5 49.609 (49.636)
EVALUATING - Epoch: [15][0/40]	Time 0.852 (0.852)	Data 0.657 (0.657)	Loss 3.3058 (3.3058)	Prec@1 21.484 (21.484)	Prec@5 48.438 (48.438)
EVALUATING - Epoch: [15][10/40]	Time 0.160 (0.228)	Data 0.000 (0.061)	Loss 3.3415 (3.2999)	Prec@1 21.875 (22.479)	Prec@5 48.438 (50.036)
EVALUATING - Epoch: [15][20/40]	Time 0.159 (0.195)	Data 0.000 (0.032)	Loss 3.2947 (3.2901)	Prec@1 23.047 (22.898)	Prec@5 51.562 (51.042)
EVALUATING - Epoch: [15][30/40]	Time 0.159 (0.184)	Data 0.000 (0.022)	Loss 3.5198 (3.3020)	Prec@1 19.141 (22.429)	Prec@5 43.359 (50.605)

 Epoch: 16	Training Loss 3.3438 	Training Prec@1 21.954 	Training Prec@5 49.706 	Validation Loss 3.2993 	Validation Prec@1 22.730 	Validation Prec@5 50.740 

TRAINING - Epoch: [16][0/196]	Time 1.034 (1.034)	Data 0.645 (0.645)	Loss 3.3092 (3.3092)	Prec@1 19.531 (19.531)	Prec@5 48.438 (48.438)
TRAINING - Epoch: [16][10/196]	Time 0.479 (0.518)	Data 0.000 (0.059)	Loss 3.3411 (3.3180)	Prec@1 26.562 (22.905)	Prec@5 51.562 (50.817)
TRAINING - Epoch: [16][20/196]	Time 0.486 (0.500)	Data 0.000 (0.031)	Loss 3.4448 (3.3237)	Prec@1 21.484 (23.010)	Prec@5 45.703 (50.465)
TRAINING - Epoch: [16][30/196]	Time 0.483 (0.493)	Data 0.000 (0.021)	Loss 3.2454 (3.3279)	Prec@1 24.609 (22.883)	Prec@5 50.391 (50.277)
TRAINING - Epoch: [16][40/196]	Time 0.482 (0.490)	Data 0.000 (0.016)	Loss 3.2466 (3.3193)	Prec@1 26.172 (22.599)	Prec@5 51.172 (50.419)
TRAINING - Epoch: [16][50/196]	Time 0.480 (0.488)	Data 0.000 (0.013)	Loss 3.2061 (3.3169)	Prec@1 23.438 (22.419)	Prec@5 53.125 (50.429)
TRAINING - Epoch: [16][60/196]	Time 0.482 (0.486)	Data 0.000 (0.011)	Loss 3.2730 (3.3130)	Prec@1 22.656 (22.515)	Prec@5 51.562 (50.576)
TRAINING - Epoch: [16][70/196]	Time 0.480 (0.485)	Data 0.000 (0.009)	Loss 3.4436 (3.3202)	Prec@1 19.531 (22.425)	Prec@5 45.312 (50.325)
TRAINING - Epoch: [16][80/196]	Time 0.476 (0.485)	Data 0.000 (0.008)	Loss 3.3496 (3.3228)	Prec@1 21.484 (22.352)	Prec@5 46.094 (50.140)
TRAINING - Epoch: [16][90/196]	Time 0.485 (0.484)	Data 0.000 (0.007)	Loss 3.3355 (3.3190)	Prec@1 21.094 (22.510)	Prec@5 53.125 (50.309)
TRAINING - Epoch: [16][100/196]	Time 0.483 (0.484)	Data 0.000 (0.007)	Loss 3.3291 (3.3177)	Prec@1 23.047 (22.710)	Prec@5 49.219 (50.329)
TRAINING - Epoch: [16][110/196]	Time 0.481 (0.483)	Data 0.000 (0.006)	Loss 3.3807 (3.3178)	Prec@1 23.047 (22.751)	Prec@5 48.828 (50.201)
TRAINING - Epoch: [16][120/196]	Time 0.480 (0.483)	Data 0.000 (0.006)	Loss 3.1393 (3.3168)	Prec@1 25.391 (22.795)	Prec@5 57.812 (50.271)
TRAINING - Epoch: [16][130/196]	Time 0.481 (0.483)	Data 0.000 (0.005)	Loss 3.3245 (3.3158)	Prec@1 23.828 (22.823)	Prec@5 50.000 (50.268)
TRAINING - Epoch: [16][140/196]	Time 0.480 (0.482)	Data 0.000 (0.005)	Loss 3.2449 (3.3140)	Prec@1 23.047 (22.806)	Prec@5 51.172 (50.363)
TRAINING - Epoch: [16][150/196]	Time 0.479 (0.482)	Data 0.000 (0.005)	Loss 3.3023 (3.3145)	Prec@1 21.094 (22.806)	Prec@5 51.562 (50.375)
TRAINING - Epoch: [16][160/196]	Time 0.485 (0.482)	Data 0.000 (0.004)	Loss 3.2683 (3.3122)	Prec@1 23.438 (22.850)	Prec@5 51.562 (50.432)
TRAINING - Epoch: [16][170/196]	Time 0.482 (0.482)	Data 0.000 (0.004)	Loss 3.2161 (3.3109)	Prec@1 20.703 (22.821)	Prec@5 53.906 (50.432)
TRAINING - Epoch: [16][180/196]	Time 0.455 (0.482)	Data 0.000 (0.004)	Loss 3.3381 (3.3113)	Prec@1 19.531 (22.792)	Prec@5 47.656 (50.360)
TRAINING - Epoch: [16][190/196]	Time 0.478 (0.482)	Data 0.000 (0.004)	Loss 3.2293 (3.3103)	Prec@1 25.391 (22.785)	Prec@5 51.562 (50.376)
EVALUATING - Epoch: [16][0/40]	Time 0.865 (0.865)	Data 0.662 (0.662)	Loss 3.2850 (3.2850)	Prec@1 21.875 (21.875)	Prec@5 48.438 (48.438)
EVALUATING - Epoch: [16][10/40]	Time 0.159 (0.232)	Data 0.000 (0.061)	Loss 3.2661 (3.2560)	Prec@1 26.562 (24.751)	Prec@5 49.609 (51.882)
EVALUATING - Epoch: [16][20/40]	Time 0.157 (0.197)	Data 0.000 (0.032)	Loss 3.2526 (3.2417)	Prec@1 22.266 (24.163)	Prec@5 50.391 (52.548)
EVALUATING - Epoch: [16][30/40]	Time 0.158 (0.185)	Data 0.000 (0.022)	Loss 3.3607 (3.2483)	Prec@1 22.656 (24.030)	Prec@5 48.438 (52.193)

 Epoch: 17	Training Loss 3.3095 	Training Prec@1 22.786 	Training Prec@5 50.402 	Validation Loss 3.2458 	Validation Prec@1 24.090 	Validation Prec@5 52.270 

TRAINING - Epoch: [17][0/196]	Time 1.153 (1.153)	Data 0.791 (0.791)	Loss 3.0259 (3.0259)	Prec@1 28.516 (28.516)	Prec@5 57.031 (57.031)
TRAINING - Epoch: [17][10/196]	Time 0.475 (0.527)	Data 0.000 (0.073)	Loss 3.3550 (3.2844)	Prec@1 22.266 (23.686)	Prec@5 50.781 (49.964)
TRAINING - Epoch: [17][20/196]	Time 0.470 (0.504)	Data 0.000 (0.038)	Loss 3.2476 (3.2825)	Prec@1 23.828 (23.717)	Prec@5 54.297 (50.781)
TRAINING - Epoch: [17][30/196]	Time 0.476 (0.496)	Data 0.000 (0.026)	Loss 3.3054 (3.2956)	Prec@1 23.047 (23.349)	Prec@5 47.656 (50.428)
TRAINING - Epoch: [17][40/196]	Time 0.482 (0.492)	Data 0.000 (0.020)	Loss 3.2787 (3.2814)	Prec@1 23.438 (23.609)	Prec@5 51.953 (50.857)
TRAINING - Epoch: [17][50/196]	Time 0.477 (0.490)	Data 0.000 (0.016)	Loss 3.3805 (3.2819)	Prec@1 20.703 (23.392)	Prec@5 46.094 (50.743)
TRAINING - Epoch: [17][60/196]	Time 0.477 (0.488)	Data 0.000 (0.013)	Loss 3.2834 (3.2789)	Prec@1 23.828 (23.463)	Prec@5 48.438 (51.057)
TRAINING - Epoch: [17][70/196]	Time 0.478 (0.487)	Data 0.000 (0.011)	Loss 3.2990 (3.2839)	Prec@1 26.953 (23.327)	Prec@5 47.266 (51.001)
TRAINING - Epoch: [17][80/196]	Time 0.475 (0.486)	Data 0.000 (0.010)	Loss 3.1872 (3.2770)	Prec@1 22.266 (23.418)	Prec@5 55.469 (51.220)
TRAINING - Epoch: [17][90/196]	Time 0.475 (0.485)	Data 0.000 (0.009)	Loss 3.3035 (3.2723)	Prec@1 22.266 (23.438)	Prec@5 46.875 (51.331)
TRAINING - Epoch: [17][100/196]	Time 0.479 (0.484)	Data 0.000 (0.008)	Loss 3.3010 (3.2772)	Prec@1 25.000 (23.310)	Prec@5 50.391 (51.199)
TRAINING - Epoch: [17][110/196]	Time 0.482 (0.484)	Data 0.000 (0.007)	Loss 3.1793 (3.2763)	Prec@1 23.438 (23.342)	Prec@5 54.688 (51.309)
TRAINING - Epoch: [17][120/196]	Time 0.478 (0.484)	Data 0.000 (0.007)	Loss 3.2996 (3.2760)	Prec@1 25.000 (23.486)	Prec@5 51.953 (51.349)
TRAINING - Epoch: [17][130/196]	Time 0.479 (0.483)	Data 0.000 (0.006)	Loss 3.2379 (3.2777)	Prec@1 23.438 (23.354)	Prec@5 49.219 (51.336)
TRAINING - Epoch: [17][140/196]	Time 0.475 (0.483)	Data 0.000 (0.006)	Loss 3.2364 (3.2757)	Prec@1 23.828 (23.388)	Prec@5 54.688 (51.363)
TRAINING - Epoch: [17][150/196]	Time 0.477 (0.483)	Data 0.000 (0.005)	Loss 3.2273 (3.2744)	Prec@1 26.953 (23.425)	Prec@5 53.516 (51.379)
TRAINING - Epoch: [17][160/196]	Time 0.488 (0.483)	Data 0.000 (0.005)	Loss 3.3710 (3.2763)	Prec@1 20.312 (23.331)	Prec@5 50.000 (51.325)
TRAINING - Epoch: [17][170/196]	Time 0.477 (0.482)	Data 0.000 (0.005)	Loss 3.3936 (3.2745)	Prec@1 22.266 (23.433)	Prec@5 46.875 (51.350)
TRAINING - Epoch: [17][180/196]	Time 0.480 (0.482)	Data 0.000 (0.005)	Loss 3.2862 (3.2760)	Prec@1 28.906 (23.446)	Prec@5 48.828 (51.286)
TRAINING - Epoch: [17][190/196]	Time 0.477 (0.482)	Data 0.000 (0.004)	Loss 3.3885 (3.2756)	Prec@1 19.922 (23.458)	Prec@5 47.656 (51.295)
EVALUATING - Epoch: [17][0/40]	Time 0.815 (0.815)	Data 0.625 (0.625)	Loss 3.2632 (3.2632)	Prec@1 23.047 (23.047)	Prec@5 50.391 (50.391)
EVALUATING - Epoch: [17][10/40]	Time 0.164 (0.229)	Data 0.000 (0.060)	Loss 3.2850 (3.2349)	Prec@1 21.484 (24.325)	Prec@5 48.828 (52.557)
EVALUATING - Epoch: [17][20/40]	Time 0.159 (0.196)	Data 0.000 (0.031)	Loss 3.1766 (3.2290)	Prec@1 25.781 (24.349)	Prec@5 55.078 (52.753)
EVALUATING - Epoch: [17][30/40]	Time 0.160 (0.184)	Data 0.000 (0.021)	Loss 3.4499 (3.2427)	Prec@1 18.750 (23.702)	Prec@5 48.047 (52.243)

 Epoch: 18	Training Loss 3.2745 	Training Prec@1 23.488 	Training Prec@5 51.280 	Validation Loss 3.2390 	Validation Prec@1 24.020 	Validation Prec@5 52.210 

TRAINING - Epoch: [18][0/196]	Time 1.090 (1.090)	Data 0.710 (0.710)	Loss 3.3150 (3.3150)	Prec@1 21.094 (21.094)	Prec@5 51.562 (51.562)
TRAINING - Epoch: [18][10/196]	Time 0.480 (0.522)	Data 0.000 (0.065)	Loss 3.2179 (3.3016)	Prec@1 23.047 (21.982)	Prec@5 50.000 (50.888)
TRAINING - Epoch: [18][20/196]	Time 0.480 (0.502)	Data 0.000 (0.034)	Loss 3.1949 (3.2687)	Prec@1 25.391 (23.382)	Prec@5 50.781 (51.674)
TRAINING - Epoch: [18][30/196]	Time 0.479 (0.495)	Data 0.000 (0.023)	Loss 3.3051 (3.2813)	Prec@1 23.828 (23.400)	Prec@5 45.703 (51.121)
TRAINING - Epoch: [18][40/196]	Time 0.479 (0.491)	Data 0.000 (0.018)	Loss 3.2487 (3.2797)	Prec@1 21.484 (23.237)	Prec@5 53.906 (51.353)
TRAINING - Epoch: [18][50/196]	Time 0.484 (0.489)	Data 0.000 (0.014)	Loss 3.2209 (3.2712)	Prec@1 24.609 (23.422)	Prec@5 52.734 (51.570)
TRAINING - Epoch: [18][60/196]	Time 0.469 (0.487)	Data 0.000 (0.012)	Loss 3.3144 (3.2730)	Prec@1 23.047 (23.489)	Prec@5 51.172 (51.550)
TRAINING - Epoch: [18][70/196]	Time 0.475 (0.486)	Data 0.000 (0.010)	Loss 3.2746 (3.2696)	Prec@1 25.391 (23.597)	Prec@5 53.125 (51.596)
TRAINING - Epoch: [18][80/196]	Time 0.484 (0.485)	Data 0.000 (0.009)	Loss 3.3214 (3.2707)	Prec@1 24.219 (23.650)	Prec@5 50.000 (51.495)
TRAINING - Epoch: [18][90/196]	Time 0.481 (0.485)	Data 0.000 (0.008)	Loss 3.0758 (3.2655)	Prec@1 29.297 (23.755)	Prec@5 54.297 (51.481)
TRAINING - Epoch: [18][100/196]	Time 0.480 (0.484)	Data 0.000 (0.007)	Loss 3.2810 (3.2680)	Prec@1 24.609 (23.712)	Prec@5 50.781 (51.423)
TRAINING - Epoch: [18][110/196]	Time 0.476 (0.484)	Data 0.000 (0.007)	Loss 3.3357 (3.2649)	Prec@1 23.438 (23.726)	Prec@5 48.438 (51.573)
TRAINING - Epoch: [18][120/196]	Time 0.481 (0.483)	Data 0.000 (0.006)	Loss 3.1577 (3.2610)	Prec@1 27.344 (23.883)	Prec@5 56.250 (51.675)
TRAINING - Epoch: [18][130/196]	Time 0.476 (0.483)	Data 0.000 (0.006)	Loss 3.3210 (3.2614)	Prec@1 21.484 (23.795)	Prec@5 51.953 (51.759)
TRAINING - Epoch: [18][140/196]	Time 0.479 (0.483)	Data 0.000 (0.005)	Loss 3.3537 (3.2587)	Prec@1 22.656 (23.817)	Prec@5 48.828 (51.826)
TRAINING - Epoch: [18][150/196]	Time 0.482 (0.483)	Data 0.000 (0.005)	Loss 3.2622 (3.2579)	Prec@1 22.656 (23.849)	Prec@5 47.266 (51.816)
TRAINING - Epoch: [18][160/196]	Time 0.475 (0.482)	Data 0.000 (0.005)	Loss 3.2961 (3.2580)	Prec@1 21.875 (23.816)	Prec@5 50.000 (51.793)
TRAINING - Epoch: [18][170/196]	Time 0.467 (0.482)	Data 0.000 (0.004)	Loss 3.2570 (3.2585)	Prec@1 23.828 (23.805)	Prec@5 51.172 (51.843)
TRAINING - Epoch: [18][180/196]	Time 0.478 (0.482)	Data 0.000 (0.004)	Loss 3.1293 (3.2575)	Prec@1 26.953 (23.841)	Prec@5 55.078 (51.793)
TRAINING - Epoch: [18][190/196]	Time 0.481 (0.482)	Data 0.000 (0.004)	Loss 3.2073 (3.2554)	Prec@1 25.781 (23.916)	Prec@5 55.078 (51.863)
EVALUATING - Epoch: [18][0/40]	Time 0.802 (0.802)	Data 0.596 (0.596)	Loss 3.1674 (3.1674)	Prec@1 24.609 (24.609)	Prec@5 54.688 (54.688)
EVALUATING - Epoch: [18][10/40]	Time 0.160 (0.227)	Data 0.000 (0.056)	Loss 3.2628 (3.2096)	Prec@1 25.000 (24.325)	Prec@5 52.734 (53.693)
EVALUATING - Epoch: [18][20/40]	Time 0.162 (0.195)	Data 0.000 (0.029)	Loss 3.1477 (3.2082)	Prec@1 25.391 (24.516)	Prec@5 53.516 (53.106)
EVALUATING - Epoch: [18][30/40]	Time 0.160 (0.183)	Data 0.000 (0.020)	Loss 3.4555 (3.2174)	Prec@1 19.531 (24.118)	Prec@5 48.438 (52.873)

 Epoch: 19	Training Loss 3.2544 	Training Prec@1 23.942 	Training Prec@5 51.926 	Validation Loss 3.2133 	Validation Prec@1 24.370 	Validation Prec@5 53.080 

TRAINING - Epoch: [19][0/196]	Time 1.080 (1.080)	Data 0.673 (0.673)	Loss 3.1400 (3.1400)	Prec@1 27.734 (27.734)	Prec@5 55.469 (55.469)
TRAINING - Epoch: [19][10/196]	Time 0.479 (0.523)	Data 0.000 (0.062)	Loss 3.2286 (3.2790)	Prec@1 20.703 (23.366)	Prec@5 54.688 (51.385)
TRAINING - Epoch: [19][20/196]	Time 0.480 (0.502)	Data 0.000 (0.033)	Loss 3.1461 (3.2560)	Prec@1 26.953 (23.717)	Prec@5 55.469 (51.786)
TRAINING - Epoch: [19][30/196]	Time 0.479 (0.495)	Data 0.000 (0.022)	Loss 3.0822 (3.2392)	Prec@1 29.688 (24.521)	Prec@5 55.469 (52.356)
TRAINING - Epoch: [19][40/196]	Time 0.471 (0.491)	Data 0.000 (0.017)	Loss 3.1588 (3.2219)	Prec@1 26.172 (24.886)	Prec@5 53.516 (52.715)
TRAINING - Epoch: [19][50/196]	Time 0.482 (0.489)	Data 0.000 (0.014)	Loss 3.2411 (3.2208)	Prec@1 22.656 (24.525)	Prec@5 55.859 (52.857)
TRAINING - Epoch: [19][60/196]	Time 0.479 (0.487)	Data 0.000 (0.011)	Loss 3.3885 (3.2271)	Prec@1 21.094 (24.443)	Prec@5 48.047 (52.760)
TRAINING - Epoch: [19][70/196]	Time 0.481 (0.486)	Data 0.000 (0.010)	Loss 3.1622 (3.2295)	Prec@1 28.125 (24.428)	Prec@5 53.906 (52.580)
TRAINING - Epoch: [19][80/196]	Time 0.479 (0.485)	Data 0.000 (0.009)	Loss 3.0518 (3.2235)	Prec@1 28.906 (24.638)	Prec@5 58.203 (52.691)
TRAINING - Epoch: [19][90/196]	Time 0.481 (0.485)	Data 0.000 (0.008)	Loss 3.1992 (3.2251)	Prec@1 21.094 (24.429)	Prec@5 53.516 (52.644)
TRAINING - Epoch: [19][100/196]	Time 0.482 (0.484)	Data 0.000 (0.007)	Loss 3.3761 (3.2281)	Prec@1 21.484 (24.331)	Prec@5 48.828 (52.491)
TRAINING - Epoch: [19][110/196]	Time 0.476 (0.484)	Data 0.000 (0.006)	Loss 3.1670 (3.2264)	Prec@1 22.656 (24.254)	Prec@5 55.469 (52.572)
TRAINING - Epoch: [19][120/196]	Time 0.484 (0.483)	Data 0.000 (0.006)	Loss 3.1942 (3.2254)	Prec@1 22.656 (24.261)	Prec@5 53.516 (52.615)
TRAINING - Epoch: [19][130/196]	Time 0.479 (0.483)	Data 0.000 (0.005)	Loss 3.2550 (3.2276)	Prec@1 25.000 (24.150)	Prec@5 51.562 (52.609)
TRAINING - Epoch: [19][140/196]	Time 0.473 (0.483)	Data 0.000 (0.005)	Loss 3.3110 (3.2294)	Prec@1 22.656 (24.186)	Prec@5 52.344 (52.568)
TRAINING - Epoch: [19][150/196]	Time 0.477 (0.483)	Data 0.000 (0.005)	Loss 3.0603 (3.2312)	Prec@1 28.516 (24.159)	Prec@5 56.250 (52.486)
TRAINING - Epoch: [19][160/196]	Time 0.482 (0.482)	Data 0.000 (0.004)	Loss 3.1303 (3.2279)	Prec@1 25.000 (24.219)	Prec@5 55.469 (52.599)
TRAINING - Epoch: [19][170/196]	Time 0.476 (0.482)	Data 0.000 (0.004)	Loss 3.4309 (3.2292)	Prec@1 19.531 (24.157)	Prec@5 45.312 (52.508)
TRAINING - Epoch: [19][180/196]	Time 0.476 (0.482)	Data 0.000 (0.004)	Loss 3.2401 (3.2315)	Prec@1 25.781 (24.137)	Prec@5 50.391 (52.460)
TRAINING - Epoch: [19][190/196]	Time 0.481 (0.482)	Data 0.000 (0.004)	Loss 3.1053 (3.2304)	Prec@1 29.297 (24.237)	Prec@5 56.250 (52.509)
EVALUATING - Epoch: [19][0/40]	Time 0.715 (0.715)	Data 0.530 (0.530)	Loss 3.1741 (3.1741)	Prec@1 25.781 (25.781)	Prec@5 53.125 (53.125)
EVALUATING - Epoch: [19][10/40]	Time 0.159 (0.224)	Data 0.000 (0.056)	Loss 3.2277 (3.2047)	Prec@1 23.828 (25.071)	Prec@5 52.344 (53.409)
EVALUATING - Epoch: [19][20/40]	Time 0.159 (0.193)	Data 0.000 (0.030)	Loss 3.1249 (3.1814)	Prec@1 24.609 (25.632)	Prec@5 54.688 (53.981)
EVALUATING - Epoch: [19][30/40]	Time 0.160 (0.182)	Data 0.000 (0.020)	Loss 3.3865 (3.1935)	Prec@1 23.047 (25.113)	Prec@5 45.703 (53.528)

 Epoch: 20	Training Loss 3.2297 	Training Prec@1 24.234 	Training Prec@5 52.532 	Validation Loss 3.1874 	Validation Prec@1 25.190 	Validation Prec@5 53.600 

TRAINING - Epoch: [20][0/196]	Time 1.097 (1.097)	Data 0.720 (0.720)	Loss 3.3693 (3.3693)	Prec@1 22.656 (22.656)	Prec@5 49.609 (49.609)
TRAINING - Epoch: [20][10/196]	Time 0.481 (0.524)	Data 0.000 (0.067)	Loss 3.2263 (3.3153)	Prec@1 25.000 (22.337)	Prec@5 53.125 (50.639)
TRAINING - Epoch: [20][20/196]	Time 0.479 (0.503)	Data 0.000 (0.035)	Loss 3.0705 (3.2599)	Prec@1 28.125 (23.996)	Prec@5 56.641 (51.935)
TRAINING - Epoch: [20][30/196]	Time 0.466 (0.496)	Data 0.000 (0.024)	Loss 3.2805 (3.2376)	Prec@1 21.875 (24.357)	Prec@5 51.562 (52.545)
TRAINING - Epoch: [20][40/196]	Time 0.480 (0.492)	Data 0.000 (0.018)	Loss 3.2761 (3.2268)	Prec@1 21.875 (24.714)	Prec@5 52.344 (52.820)
TRAINING - Epoch: [20][50/196]	Time 0.482 (0.489)	Data 0.000 (0.015)	Loss 3.2184 (3.2199)	Prec@1 28.125 (24.778)	Prec@5 52.344 (53.041)
TRAINING - Epoch: [20][60/196]	Time 0.478 (0.488)	Data 0.000 (0.012)	Loss 3.2217 (3.2249)	Prec@1 23.047 (24.641)	Prec@5 50.000 (52.862)
TRAINING - Epoch: [20][70/196]	Time 0.481 (0.487)	Data 0.000 (0.011)	Loss 3.1750 (3.2210)	Prec@1 25.391 (24.659)	Prec@5 55.469 (52.954)
TRAINING - Epoch: [20][80/196]	Time 0.481 (0.486)	Data 0.000 (0.009)	Loss 3.2072 (3.2146)	Prec@1 26.953 (24.662)	Prec@5 50.781 (53.193)
TRAINING - Epoch: [20][90/196]	Time 0.483 (0.485)	Data 0.000 (0.008)	Loss 3.2421 (3.2149)	Prec@1 21.875 (24.609)	Prec@5 52.344 (52.988)
